date,region_code,region,cases,deceased,tests,positive_tests,test_positivity,active_hospital_admissions,active_icu,population,acum14_cases,acum14_cases_per_100k,acum14_positive_tests,acum14_positive_tests_per_100k,acum7_positive_tests,acum7_positive_tests_per_100k,test_positivity_rate7,test_positivity_rate14,test7_av,acum14_deceased_per_1M,hosp14_average,aver14_positive_tests
2020-09-22,1,Mallorca,,,,115,,215,62,896038,,,,,,,"5,68%","7,20%",,,"243,8571429","160,7857143"
2020-09-22,2,Menorca,,,,0,,1,0,93397,,,,,,,"1,38%","1,06%",,,"1,928571429","2,071428571"
2020-09-22,3,Eivissa,,,,46,,51,5,147914,,,,,,,"11,17%","11,24%",,,"45,35714286","39,57142857"
2020-09-22,4,Formentera,,,,0,,,,12111,,,,,,,"5,49%",,,,,
2020-09-23,0,Illes_Balears,165,1,3297,150,"4,55%",266,67,1149460,,,,,,,"5,34%","6,68%",2920,,"283,6428571","195,8571429"
2020-09-23,1,Mallorca,,,,105,,215,60,896038,,,,,,,"5,06%","6,81%",,,"237,6428571","147,6428571"
2020-09-23,2,Menorca,,,,0,,0,0,93397,,,,,,,"1,29%","1,06%",,,"2,142857143",2
2020-09-23,3,Eivissa,,,,43,,51,7,147914,,,,,,,"10,63%","11,09%",,,"43,85714286","39,78571429"
2020-09-23,4,Formentera,,,,1,,,,12111,,,,,,,"6,19%",,,,,
2020-09-24,0,Illes_Balears,154,1,3144,148,"4,71%",258,67,1149460,2578,"224,28",2584,"224,80",1019,"88,65","5,00%","6,25%",2913,,"276,5","184,5714286"
2020-09-24,1,Mallorca,,,,103,,210,60,896038,,,1923,"214,61",717,"80,02","4,66%","6,25%",,,"231,9285714","137,3571429"
2020-09-24,2,Menorca,,,,0,,0,0,93397,,,26,"27,84",10,"10,71","1,06%","1,05%",,,"2,357142857","1,857142857"
2020-09-24,3,Eivissa,,,,37,,48,7,147914,,,542,"366,43",248,"167,66","9,85%","10,67%",,,"42,21428571","38,71428571"
2020-09-24,4,Formentera,,,,0,,,,12111,,,11,"90,83",5,"41,28","5,15%",,,,,
2020-09-25,0,Illes_Balears,0,0,3387,160,"4,72%",243,66,1149460,2578,"224,28",2453,"213,40",1012,"88,04","5,06%","5,96%",2858,"25,23","268,7142857","175,2142857"
2020-09-25,1,Mallorca,,,,108,,197,60,896038,,,1797,"200,55",711,"79,35","4,72%","5,85%",,,"225,6428571","128,3571429"
2020-09-25,2,Menorca,,,,3,,0,0,93397,,,22,"23,56",8,"8,57","0,90%","0,95%",,,"2,571428571","1,571428571"
2020-09-25,3,Eivissa,,,,44,,46,6,147914,,,545,"368,46",248,"167,66","10,02%","10,65%",,,"40,5","38,92857143"
2020-09-25,4,Formentera,,,,2,,,,12111,,,13,"107,34",7,"57,80","7,14%",,,,,
2020-09-26,0,Illes_Balears,0,0,2661,112,"4,21%",256,64,1149460,2578,"224,28",2384,"207,40",1010,"87,87","4,93%","5,86%",2929,"25,23","260,9285714","170,2857143"
2020-09-26,1,Mallorca,,,,81,,207,59,896038,,,1760,"196,42",713,"79,57","4,58%","5,76%",,,"219,2142857","125,7142857"
2020-09-26,2,Menorca,,,,1,,2,0,93397,,,22,"23,56",7,"7,49","0,82%","0,96%",,,"2,714285714","1,571428571"
2020-09-26,3,Eivissa,,,,23,,47,5,147914,,,513,"346,82",243,"164,28","9,99%","10,61%",,,39,"36,64285714"
2020-09-26,4,Formentera,,,,0,,,,12111,,,13,"107,34",7,"57,80","7,14%",,,,,
2020-09-27,0,Illes_Balears,306,2,1232,38,"3,08%",269,63,1149460,2611,"227,15",2333,"202,96",942,"81,95","4,72%","5,75%",2852,"26,10","253,5714286","166,6428571"
2020-09-27,1,Mallorca,,,,35,,219,58,896038,,,1709,"190,73",650,"72,54","4,32%","5,60%",,,"213,1428571","122,0714286"
2020-09-27,2,Menorca,,,,0,,2,0,93397,,,22,"23,56",7,"7,49","0,82%","1,02%",,,"2,928571429","1,571428571"
2020-09-27,3,Eivissa,,,,1,,48,5,147914,,,514,"347,50",240,"162,26","10,09%","10,64%",,,"37,5","36,71428571"
2020-09-27,4,Formentera,,,,0,,,,12111,,,13,"107,34",7,"57,80","6,93%",,,,,
2020-09-28,0,Illes_Balears,89,2,2530,72,"2,85%",253,59,1149460,2424,"210,88",2166,"188,44",851,"74,03","4,33%","5,39%",2807,"23,49","248,2142857","154,7142857"
2020-09-28,1,Mallorca,,,,37,,205,56,896038,,,1568,"174,99",584,"65,18","3,98%","5,16%",,,"208,8571429",112
2020-09-28,2,Menorca,,,,3,,2,0,93397,,,24,"25,70",7,"7,49","0,83%","1,19%",,,"3,214285714","1,714285714"
2020-09-28,3,Eivissa,,,,26,,46,3,147914,,,490,"331,27",220,"148,74","9,27%","10,38%",,,"36,14285714",35
2020-09-28,4,Formentera,,,,5,,,,12111,,,15,"123,85",8,"66,06","9,09%",,,,,
2020-09-29,0,Illes_Balears,148,6,3645,143,"3,92%",234,55,1149460,2399,"208,71",2032,"176,78",823,"71,60","4,14%","5,03%",2842,"25,23","243,5714286","145,1428571"
2020-09-29,1,Mallorca,,,,95,,191,52,896038,,,1454,"162,27",564,"62,94","3,79%","4,76%",,,"204,7142857","103,8571429"
2020-09-29,2,Menorca,,,,6,,2,0,93397,,,29,"31,05",13,"13,92","1,48%","1,42%",,,"3,571428571","2,071428571"
2020-09-29,3,Eivissa,,,,35,,41,3,147914,,,463,"313,02",209,"141,30","8,75%","9,93%",,,"35,28571429","33,07142857"
2020-09-29,4,Formentera,,,,0,,,,12111,,,13,"107,34",8,"66,06","6,96%",,,,,
2020-09-30,0,Illes_Balears,149,2,3283,124,"3,78%",229,52,1149460,1946,"169,30",1888,"164,25",797,"69,34","4,01%","4,68%",2840,"26,10","237,8571429","134,8571429"
2020-09-30,1,Mallorca,,,,99,,186,50,896038,,,1340,"149,55",558,"62,27","3,68%","4,38%",,,"199,5","95,71428571"
2020-09-30,2,Menorca,,,,0,,2,0,93397,,,27,"28,91",13,"13,92","1,41%","1,34%",,,"3,928571429","1,928571429"
2020-09-30,3,Eivissa,,,,19,,41,2,147914,,,433,"292,74",185,"125,07","8,26%","9,47%",,,"34,42857143","30,92857143"
2020-09-30,4,Formentera,,,,0,,,,12111,,,13,"107,34",7,"57,80","5,83%",,,,,
